epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1359,5.4846,6.67501,2.6015,0,0,0,0,5.53554,6.46557,2.09106,2e-05,2e-05,2e-05
2,21.2854,5.1372,6.06835,2.50123,0,0,0,0,5.27234,5.67476,1.92225,5.9406e-05,5.9406e-05,5.9406e-05
3,31.5224,4.37851,5.83126,2.03163,0,0,0,0,4.86843,5.50776,1.63982,9.802e-05,9.802e-05,9.802e-05
4,41.6017,4.54584,5.48829,1.9028,0,0,0,0,4.47161,5.35537,1.46678,0.000135842,0.000135842,0.000135842
5,49.4426,4.59327,5.26954,1.73156,0,0,0,0,4.08911,5.23164,1.36246,0.000172872,0.000172872,0.000172872
6,56.3069,4.35913,5.17057,1.60418,0,0,0,0,4.03056,5.03728,1.3116,0.00020911,0.00020911,0.00020911
7,63.3085,4.2627,5.09439,1.47847,0.00413,0.01639,0.00228,0.00023,3.94128,4.71442,1.27441,0.000244556,0.000244556,0.000244556
8,69.5233,4.0636,4.89316,1.4785,0.0132,0.13115,0.00795,0.00176,3.80106,4.23416,1.23698,0.00027921,0.00027921,0.00027921
9,75.4731,3.98666,4.75027,1.35073,0.03006,0.01639,0.00953,0.00212,3.73132,3.68857,1.19639,0.000313072,0.000313072,0.000313072
10,82.1263,4.42833,4.47076,1.28044,0.04362,0.04918,0.01357,0.00286,3.68773,3.28855,1.1568,0.000346142,0.000346142,0.000346142
11,88.0631,3.80409,4.07622,1.22867,0.08444,0.06557,0.02713,0.00527,3.57308,3.7976,1.11711,0.00037842,0.00037842,0.00037842
12,94.6462,3.72864,3.70758,1.1716,0.08444,0.06557,0.02713,0.00527,3.57308,3.7976,1.11711,0.000409906,0.000409906,0.000409906
13,101.343,3.58845,3.58675,1.15377,0.06969,0.19672,0.04478,0.01099,3.30975,7.60357,1.0802,0.0004406,0.0004406,0.0004406
14,108.91,3.50369,3.26507,1.11859,0.11924,0.10661,0.07994,0.01516,3.1804,16.9926,1.07675,0.000470502,0.000470502,0.000470502
15,117.758,3.4648,3.14857,1.07168,0.11924,0.10661,0.07994,0.01516,3.1804,16.9926,1.07675,0.000499612,0.000499612,0.000499612
16,124.989,3.53766,2.856,1.09231,0.08043,0.40984,0.09658,0.01661,3.13576,32.7161,1.08698,0.00052793,0.00052793,0.00052793
17,131.164,3.35262,2.7652,1.12374,0.08992,0.4918,0.13198,0.02296,3.08555,44.4305,1.08294,0.000555456,0.000555456,0.000555456
18,137.543,2.84655,2.18619,1.11355,0.08992,0.4918,0.13198,0.02296,3.08555,44.4305,1.08294,0.00058219,0.00058219,0.00058219
19,144.208,3.38734,2.40943,1.08547,0.09863,0.40984,0.13751,0.02889,3.03928,37.502,1.07163,0.000608132,0.000608132,0.000608132
20,151.075,3.52363,2.22773,1.07077,0.09863,0.40984,0.13751,0.02889,3.03928,37.502,1.07163,0.000633282,0.000633282,0.000633282
21,159.523,3.69985,2.3822,1.07638,0.15016,0.37705,0.16584,0.04474,2.84811,25.072,1.0266,0.00065764,0.00065764,0.00065764
22,167.797,3.18854,2.02471,1.01775,0.15016,0.37705,0.16584,0.04474,2.84811,25.072,1.0266,0.000681206,0.000681206,0.000681206
23,178.261,3.06272,1.87927,1.01281,0.2176,0.39344,0.19766,0.06817,2.68766,18.5406,1.00038,0.00070398,0.00070398,0.00070398
24,186.218,3.2554,1.92633,0.99074,0.2176,0.39344,0.19766,0.06817,2.68766,18.5406,1.00038,0.000725962,0.000725962,0.000725962
25,194.161,3.27572,1.94883,0.98816,0.20782,0.45902,0.22873,0.08671,2.64341,24.8974,0.98563,0.000747152,0.000747152,0.000747152
26,200.357,2.8496,1.61823,1.00193,0.20782,0.45902,0.22873,0.08671,2.64341,24.8974,0.98563,0.00076755,0.00076755,0.00076755
27,206.261,3.39567,1.86191,0.99911,0.20782,0.45902,0.22873,0.08671,2.64341,24.8974,0.98563,0.000787156,0.000787156,0.000787156
28,212.058,2.90615,1.62137,0.98161,0.23873,0.52459,0.33829,0.11442,2.64554,24.2365,0.98302,0.00080597,0.00080597,0.00080597
